
Support Threshold: .3
4
Supp Conf  Rule
conf	supp	rule
0.236	0.106	Down-1=1 -> Med-Gain=1
0.462	0.105	Qtr-3=1 -> Down-1=1
0.234	0.105	Down-1=1 -> Qtr-3=1
0.898	0.104	Down-1=1 Small-Gain=1 -> Med-Dist=1
0.643	0.104	Small-Gain=1 Med-Dist=1 -> Down-1=1
0.436	0.104	Small-Gain=1 -> Down-1=1 Med-Dist=1
0.249	0.104	Down-1=1 Med-Dist=1 -> Small-Gain=1
0.231	0.104	Down-1=1 -> Small-Gain=1 Med-Dist=1
0.146	0.104	Med-Dist=1 -> Down-1=1 Small-Gain=1
0.344	0.104	First_Down=1 -> Down-2=1
0.322	0.104	Down-2=1 -> First_Down=1
0.946	0.103	Run=1 Large-Gain=1 -> First_Down=1
0.584	0.103	First_Down=1 Run=1 -> Large-Gain=1
0.506	0.103	First_Down=1 Large-Gain=1 -> Run=1
0.475	0.103	Large-Gain=1 -> First_Down=1 Run=1
0.342	0.103	First_Down=1 -> Run=1 Large-Gain=1
0.185	0.103	Run=1 -> First_Down=1 Large-Gain=1
0.961	0.102	Down-1=1 Med-Gain=1 -> Med-Dist=1
0.604	0.102	Med-Gain=1 Med-Dist=1 -> Down-1=1
0.455	0.102	Med-Gain=1 -> Down-1=1 Med-Dist=1
0.244	0.102	Down-1=1 Med-Dist=1 -> Med-Gain=1
0.227	0.102	Down-1=1 -> Med-Gain=1 Med-Dist=1
0.144	0.102	Med-Dist=1 -> Down-1=1 Med-Gain=1
0.337	0.102	First_Down=1 -> Down-1=1
0.226	0.102	Down-1=1 -> First_Down=1
0.716	0.101	Run=1 Qtr-3=1 -> Med-Dist=1
0.630	0.101	Qtr-3=1 Med-Dist=1 -> Run=1
0.446	0.101	Qtr-3=1 -> Run=1 Med-Dist=1
0.256	0.101	Run=1 Med-Dist=1 -> Qtr-3=1
0.182	0.101	Run=1 -> Qtr-3=1 Med-Dist=1
0.143	0.101	Med-Dist=1 -> Run=1 Qtr-3=1
